RNO.PA	TSLA
24.144623	20.299999
24.488119	20.219999
25.311777	21
25.777161	21.290001
26.105888	20.950001
25.718065	20.549999
25.610952	20.719999
24.853783	20.35
25.289614	19.940001
25.477987	20.92
26.349657	21.950001
25.585096	21.26
25.489067	20.450001
24.905485	19.59
25.537083	19.6
25.411503	19.030001
24.654327	17.9
24.366234	17.6
24.495508	18.32
24.46965	18.780001
25.034763	19.15
25.186197	18.77
24.661715	18.790001
23.982105	19.1
24.377312	20.129999
23.830667	19.200001
23.553656	19.9
23.823282	19.75
24.037506	19.700001
23.716167	19.870001
23.68293	19.48
24.968279	20.450001
25.267458	21.059999
25.429968	21.049999
25.370872	NA
25.11602	20.540001
25.245295	20.9
26.039404	20.709999
26.512177	20.17
26.56019	20.719999
26.408756	21.120001
26.888914	21.98
26.357044	20.940001
26.670994	20.23
27.184395	21.059999
27.346914	20.77
26.789194	19.870001
27.136381	19.559999
27.579601	20.1
27.716265	20.530001
27.25827	21.4
27.291512	21.98
27.882471	20.41
27.213943	20.6
26.253628	20.99
27.199173	21.120001
26.973866	20.459999
29.252773	20.43
28.547312	20.43
28.720909	20.24
28.986841	20.24
29.193678	20.540001
28.495602	20.75
28.979452	20.540001
28.935133	20.23
29.662758	20.049999
30.301741	20.65
30.80406	20.75
31.550152	20.719999
31.904734	20.85
30.959188	21.360001
30.006256	21
29.230618	21.190001
29.492859	21.84
29.300791	21.41
28.816938	21.25
28.724602	21.77
29.38574	24.9
29.917612	24.440001
30.545513	24.98
31.856718	24.629999
31.092154	29.360001
31.040443	28.040001
30.630465	29.84
31.114317	30.799999
30.231562	29.67
30.552902	29.49
31.690506	29.889999
31.878881	30.99
32.35165	33.400002
31.439344	34.57
31.937977	35.470001
32.440296	NA
31.760685	35.32
30.467947	34.330002
29.828964	35.330002
31.358086	34.349998
32.580643	32.349998
32.381199	31.49
32.927841	30.309999
33.685017	31.559999
33.238098	32.369999
32.248226	32.049999
32.517857	31.52
33.241791	30.549999
32.857662	28.530001
32.251926	29.6
32.429222	30.809999
31.845634	31.360001
31.949057	31.700001
32.765331	32.259998
33.204853	32.630001
33.068195	30.09
32.089405	25.549999
31.875185	26.41
32.041397	27.73
32.089405	26.5
NA	26.629999
32.56218	26.620001
33.197468	26.67
33.574215	26.83
34.586235	27.879999
34.903881	28.24
35.088558	28.450001
36.447769	26.959999
35.827263	26.959999
35.64259	26.219999
35.986088	25.75
35.975002	NA
35.779247	25.639999
35.635204	24.030001
34.623173	22.620001
34.756142	23.040001
34.955593	24.49
35.361877	24.68
36.525345	24.75
36.510567	24.92
35.299091	24.01
35.299091	24.1
34.988831	23.91
33.980499	23.940001
34.837399	23.629999
35.066391	23.459999
35.428364	23.07
36.484715	24.49
35.882671	23.209999
34.903881	23.219999
34.423721	23.25
33.943562	23.08
33.733036	22.84
33.847527	24.73
33.515114	23.6
33.234402	23.18
33.160534	NA
33.156837	21.870001
31.952751	21.83
31.099543	22.530001
31.72744	23.610001
32.809647	23.889999
32.078331	23.940001
31.579702	24.02
31.738525	24.360001
31.147558	24.950001
30.704334	24.940001
31.210348	24.66
31.601862	24.719999
30.641541	24.01
30.102285	24.07
28.200117	23.25
27.738426	22.950001
26.597126	22.82
27.753204	22.809999
28.174269	22.959999
28.632261	22.73
27.87509	22.190001
27.9231	22.209999
28.373714	22.33
27.982201	22.75
27.686716	23.25
28.362633	23.92
28.610102	23.709999
28.816938	27.75
29.507629	26.66
29.370972	25.83
29.245388	26.700001
29.311872	26.49
29.186293	27.24
29.448538	26.49
28.798475	25.27
27.886168	24.65
27.974815	24.93
28.177959	25.139999
27.490961	25.58
26.807659	25.030001
26.829817	25.16
27.989592	25.75
28.362633	26.74
NA	26.389999
29.134584	26.93
30.227865	27.08
30.046886	27.66
30.390381	27.6
30.423624	27.450001
30.275885	26.870001
30.139223	26.690001
29.300791	26.440001
30.017336	27.120001
29.766178	27.91
30.168772	28.33
30.131561	27.07
29.755756	27.67
30.347376	27.549999
29.811569	26.6
29.260883	25.959999
29.480417	26.35
29.61808	28.200001
29.37623	27.969999
28.472059	26.82
28.792051	26.719999
29.179026	28.98
28.810656	29.48
29.071119	29.549999
28.866467	NA
29.335299	30.139999
29.089725	28.52
28.204157	28.76
28.401363	30.129999
28.077644	28.700001
27.943693	28.370001
27.329752	27.120001
27.686956	27.620001
27.087894	27.860001
26.652555	28.43
27.307425	28.6
27.311146	27.32
27.426495	26.5
27.549284	26.5
27.530674	26.01
28.334389	27.530001
29.149256	27.209999
28.788334	27.709999
29.145533	27.57
29.424597	27.459999
29.789244	28.110001
30.217142	28.290001
30.425512	29.129999
30.354815	29.02
30.77527	NA
30.607834	29.139999
30.28784	28.959999
30.124123	29.73
29.171583	28.809999
28.1409	28.35
28.271132	28.17
28.241365	28.639999
27.601374	27.610001
27.530674	27.58
26.793947	27.23
27.407892	27.889999
27.478588	28.690001
27.772535	28.700001
28.315783	29.290001
28.297176	28.49
27.512075	28
26.641392	27.639999
27.843233	28.17
27.731606	28.17
27.597654	28.77
26.317678	27.34
25.476759	27.200001
23.783766	24.75
23.292612	24.24
21.134514	23.639999
21.536366	25.059999
20.286154	23.82
21.491714	25.299999
21.748455	26.309999
22.116819	26.23
21.681479	26.1
21.569855	25.83
19.854534	24.26
18.924318	22.299999
18.38479	21.950001
18.407118	22.959999
19.255476	23.870001
19.497334	23.110001
19.58663	23.73
19.791281	24.709999
19.884302	24.629999
21.115906	24.74
20.661961	24
19.87686	23.07
18.648975	NA
17.979219	22.940001
19.207106	23.84
19.571749	23.610001
18.321541	22.969999
18.105728	22.879999
18.600605	24.08
19.065714	24.34
20.159647	24.82
19.943834	25.799999
19.865694	25.77
20.17453	26.01
19.40803	25.85
18.235958	25.629999
18.343863	26.379999
18.061075	25.52
19.545702	26.190001
18.905712	24.59
19.359659	24.120001
18.656414	24.389999
18.109449	23.73
16.624823	23.66
17.655504	25.370001
18.972691	26.959999
19.095476	26.99
19.984764	27.879999
20.085228	27.610001
20.30476	27.799999
19.7057	27.940001
20.446152	28.049999
19.821049	27.42
19.541983	28.34
19.75407	27.57
19.400591	27.34
20.479639	28.030001
21.060093	28.549999
20.978237	28.25
21.357765	27.98
22.555882	28.76
23.564236	29.870001
22.656345	29.370001
20.613592	28.879999
21.577295	28.709999
22.447977	32.459999
22.16147	32.310001
21.960545	31.27
21.532642	31.84
20.82568	30.879999
20.583824	31.33
21.487993	33.639999
21.324276	33.220001
20.30476	33.93
20.122437	34.939999
19.515938	33.68
19.329889	32.599998
18.224798	31.76
17.919683	32.07
17.428532	31.450001
17.889919	NA
18.046194	31.66
19.337334	32.560001
19.608959	31.75
20.650799	32.740002
20.613592	32.599998
21.387531	33.299999
22.113098	34.419998
22.038683	34.869999
21.506598	34.189999
20.464754	30.889999
21.190323	31.040001
20.122437	30.41
20.234064	29.450001
19.348495	28.530001
19.341055	28.620001
19.121523	28
18.753159	27.75
19.940115	27.9
19.839651	27.57
19.75779	27.77
19.958717	27.9
19.96244	28.57
19.240591	28.51
19.601515	28.73
19.943834	28.559999
20.535452	NA
21.127068	28.08
20.706614	27.709999
20.554056	27.120001
21.067537	26.91
20.981955	27.25
21.949383	27.620001
22.03124	28.23
22.310305	28.25
22.317745	22.790001
22.972622	NA
23.575401	26.6
23.731676	26.809999
24.129807	26.76
24.29353	26.6
24.777239	26.77
24.29353	27.42
24.423756	27.969999
25.316767	28.940001
24.847937	29.33
24.334455	29.57
24.233994	29.07
25.432112	29.58
25.930712	30.25
26.857204	31.15
27.59021	31.799999
27.314869	31.6
27.37068	31.93
27.575327	32.580002
26.819992	31.1
27.024639	31.49
26.418144	33.169998
26.939062	33.599998
28.148342	34.18
29.614357	34.970001
30.566904	NA
30.511093	34.5
29.941801	34.220001
29.23856	34.529999
29.722265	33.75
29.071119	33.619999
29.82645	33.810001
29.573431	33.41
30.150164	34.41
30.001331	34.040001
29.707382	33.77
28.297176	33.110001
28.814377	33.119999
30.659929	33.07
31.058058	34.740002
30.961321	36.009998
31.38549	36.09
32.010597	35.290001
31.541775	35
31.247822	35.32
30.924105	34.98
29.882265	34.959999
30.28784	35.150002
29.272039	34.400002
29.990168	34.080002
30.432955	37.400002
30.142727	37.939999
29.707382	37.849998
28.866467	37.330002
29.413437	37.240002
29.02647	36.580002
29.022747	38.009998
27.727882	35
28.259964	34.48
NA	33.150002
26.611624	32.459999
26.965107	33.09
27.79858	33.439999
26.756739	33.59
26.786505	32.25
27.556725	32.240002
27.162313	32.66
26.637671	33.16
26.414421	33.16
25.07863	31.940001
25.737223	31.82
26.284187	32.91
25.744667	33.490002
26.54837	33.34
25.543736	33.130001
NA	33.779999
25.18281	33.939999
25.391178	32.459999
24.181898	31.83
24.628407	32.470001
23.504702	30.190001
23.441448	30.059999
24.418819	32.959999
25.63957	32.25
24.615839	30.059999
24.299065	29.43
24.411095	29.18
24.117496	28.57
23.634605	27.559999
24.739458	28.77
26.296299	30.799999
25.778643	31.02
25.666611	30.280001
26.025881	29.809999
26.076103	NA
27.130733	31.690001
26.72897	30.41
26.180403	29.5
26.168816	28.15
25.40778	27.879999
25.828861	27.91
26.292437	29.219999
26.547401	28.93
25.92544	30.08
25.39233	29.120001
24.975109	29.66
23.935926	29.77
23.603699	29.389999
24.028643	29.91
24.113632	31.84
25.21076	32.09
25.909988	33.779999
25.241665	32.189999
24.360872	33.790001
23.25602	33.110001
22.819485	31.610001
23.159443	31.959999
23.001051	31.41
24.29134	31.290001
24.693098	30.4
25.620253	30.66
26.110868	NA
25.508221	31.23
24.882399	30.99
24.85149	31.49
25.214624	31.27
24.917162	31.51
24.928751	32.700001
24.948071	34.25
25.369148	35.959999
25.612526	33.349998
25.882944	32.150002
26.667158	32.27
26.099279	31.790001
25.461866	30.66
25.419369	29.84
25.492767	28.950001
26.110868	28.129999
27.768148	29.51
27.857002	27.35
27.49773	27.42
27.659981	26.25
26.481731	26.1
27.041882	27.27
28.285807	28.27
28.590998	30.25
28.602583	29.09
28.683716	29.41
28.598722	29.940001
28.776424	31.17
28.780289	29.42
28.633492	29.4
29.236139	30.299999
29.506556	30.01
28.942537	29.51
29.402256	29.110001
29.552914	29.950001
29.552914	30.73
28.873005	29.5
29.282494	28.32
29.209099	28.690001
29.429295	28.41
28.382387	28.41
28.714621	28.52
28.448061	NA
27.872456	28.139999
27.656115	27.940001
29.22068	28.549999
29.765385	29.35
29.854237	27.370001
29.649494	27.799999
30.43371	28.280001
30.429842	29.48
32.12962	30.389999
31.453568	32.540001
30.182604	31.34
30.862513	31.049999
30.209644	30.9
30.619139	30.02
30.306223	30.66
30.209644	27.66
28.788015	27.540001
28.641216	28.49
28.216276	29.280001
28.270357	29.16
28.057888	29.799999
27.91881	29.299999
28.096516	29.4
28.409428	28.889999
27.455236	29.25
27.180954	28.370001
26.887356	28.4
27.235039	28.32
26.543539	27.639999
27.687023	27.33
27.412741	28.059999
28.123558	28.82
28.822781	28.040001
28.780289	27.74
28.366938	27.85
27.644531	28.389999
27.629078	27.42
27.331617	27.52
26.841	27.379999
26.377424	NA
26.601486	NA
26.663296	28.129999
26.991661	29.25
27.265945	28.92
26.802366	31.5
27.095964	31.15
26.991661	31.540001
26.543539	31.309999
26.458548	30.32
26.269257	31.07
26.033606	31.610001
25.81727	31.379999
25.967934	30.82
26.265394	31.84
27.783602	32.919998
27.74111	33
28.703026	32.470001
29.259317	NA
29.506556	32.130001
29.209099	32.27
29.359758	32.150002
28.772562	33.23
29.305676	33.689999
29.711304	33.82
29.317261	34.619999
28.981169	33.900002
29.297947	33.709999
29.66881	33.900002
29.680397	34.169998
30.093752	34.57
30.518694	35.279999
30.619139	35.259998
31.074984	33.610001
31.523111	33.810001
32.295731	34.400002
31.673771	34.59
32.160526	34.610001
31.646729	34.43
31.654455	34
NA	34.279999
NA	33.59
31.542419	33.689999
31.152248	33.220001
NA	33.869999
31.341539	35.360001
31.801252	34.77
31.499928	34.400002
31.275867	34.34
30.650045	33.68
30.905012	33.639999
31.233372	33.529999
31.020905	32.91
31.57719	33.259998
32.13348	33.900002
31.534695	34.099998
32.280281	34.380001
33.686459	34.52
33.632378	NA
33.416042	35.189999
32.836571	36
33.018143	36.990002
33.991646	36.98
33.995506	38.029999
34.432041	37.950001
34.748814	37.52
34.316147	37.509998
34.795174	38.299999
33.655552	37.740002
33.763721	38.130001
34.296833	39.169998
34.088223	39.48
33.686459	39.240002
33.454674	38.419998
33.145626	37.889999
33.373547	38.450001
35.927074	38.27
37.174858	37.040001
37.545723	NA
37.862499	39.279999
38.044071	38.540001
36.618572	35.16
36.599255	36.110001
36.827175	34.380001
36.027512	34.43
36.885132	35.099998
37.561176	34.830002
37.653893	34.650002
37.13623	35.580002
38.596493	36.650002
39.898365	37.689999
39.689758	38.23
41.88401	38.470001
41.737213	39.099998
41.88401	39.119999
41.350899	38.98
41.551785	36.849998
40.547375	35.290001
41.065029	35.150002
40.763702	35.080002
41.54406	35.950001
39.434788	36.009998
39.488873	36.619999
38.839867	37.529999
38.893951	37.860001
38.078831	38.16
37.762051	37.889999
NA	43.93
37.935898	44.34
37.80069	41.099998
38.924862	42.009998
38.322205	41.369999
37.35643	41.830002
37.572765	40.5
37.904999	41.860001
39.063938	43.59
38.275852	43.75
36.618572	43.299999
36.236126	45.59
34.93425	45.450001
34.799038	46.970001
35.981159	47.830002
36.811726	50.189999
38.237221	51.009998
39.048477	50.43
40.323307	52
40.454659	51.200001
41.659946	54.939999
40.423752	53.990002
NA	53.279999
40.191967	54.110001
41.451347	54.549999
41.095936	59.5
41.783573	55.509998
41.273636	55.790001
40.972313	69.400002
41.842709	76.760002
42.95266	87.800003
44.7174	83.239998
46.713711000000004	84.839996
47.26469	92.25
48.941593	91.5
49.612354	89.940002
49.724148	87.589996
49.612354	87.239998
47.639996	92.730003
47.312603	97.080002
47.51223	NA
49.085327	110.330002
47.67992	104.629997
47.392452	104.949997
47.719849	97.760002
46.721695	92.589996
47.528202	94.839996
46.985207	95.370003
46.649826	97.349998
47.56813	102.040001
48.063217	100.050003
46.098843	94.470001
44.685452	97.730003
44.549709	98.18
45.068748	100.300003
45.739506	102.199997
46.21064	103.389999
45.803387	104.68
42.7131	100.650002
41.299713	99.550003
40.205723	101.489998
42.745041	102.400002
42.146149	105.720001
42.257935	109.25
41.283737	107.360001
41.978455	117.18
42.457569	117.82
43.000565	115.239998
44.653515	NA
43.87096	120.089996
44.421944	121.610001
45.963093	123.449997
45.715549	122.269997
44.757324	125.610001
45.340244	129.899994
45.228451	127.260002
45.380177	109.050003
45.404133	120.25
46.498104	119.029999
46.226604	119.68
46.146759	122.43
46.066902	122.739998
47.392452	121.699997
47.655968	124.07
47.224766	129.389999
48.031277	134.619995
47.815674	131.740005
47.248718	134.279999
48.278816	135.550003
49.971695	138
49.628323	144.679993
48.230911	142.149994
47.392452	134.229996
47.783733	153.479996
47.40044	153
47.70388	147.380005
48.39061	145.429993
49.532501	139.360001
48.941593	139.669998
49.580414	142
48.646137	144.899994
47.464325	149.580002
47.216778	147.860001
47.943436	157.100006
47.552158	161.839996
47.320587	164.220001
45.076733	167.009995
43.950813	166.449997
44.110523	166.059998
43.184227	169
43.192215	NA
42.417645	168.940002
42.641232	170.619995
45.116657	169.929993
45.747494	166.970001
46.633854	160.699997
47.12096	166.369995
47.520218	163.520004
46.713711000000004	164.929993
47.576115	165.539993
47.552158	166.580002
46.434227	166.229996
47.240734	166.220001
48.933605	177.919998
48.566284	183.389999
48.071205	181.110001
48.127102	182.330002
48.286804	185.240005
48.111126	188.639999
47.919483	190.899994
47.057072	193.369995
47.83165	193
47.272682	180.949997
47.51223	173.309998
48.837788	180.979996
49.468624	183.070007
49.005474	174.729996
49.668251	168.779999
51.83226	172.929993
52.023903	178.699997
52.311375	179.720001
53.421322	183.940002
54.052155	183.559998
54.339622	182.800003
54.611115	183.399994
54.315662	172.600006
54.323647	171.539993
53.860508	164.5
54.515293	173.149994
52.790478	169.660004
50.826111	162.860001
51.129551	164.470001
51.592693	159.220001
51.512848	159.940002
48.941593	162.169998
48.877708	175.199997
47.791721	176.809998
48.151054	151.160004
49.197117	139.770004
48.789871	137.949997
48.861744	144.699997
49.077343	137.800003
48.813831	138.699997
48.765919	137.600006
49.221077	135.449997
49.891838	121.580002
50.466774	126.089996
49.700191	121.110001
50.362968	122.099998
51.448959	121.379997
52.167633	120.839996
51.760384	120.5
51.94405	126.940002
51.704494	NA
52.135693	127.279999
51.776356	124.169998
49.404739	144.699997
49.109283	138.949997
48.294792	140.479996
48.53434	137.360001
48.270832	141.600006
47.136925	142.190002
46.474152	139.649994
45.587788	147.470001
45.547867	147.649994
45.619732	147.940002
45.819363	152.460007
46.418259	147.979996
45.851299	140.720001
45.995033	143.240005
46.51408	143.550003
46.554005	151.410004
NA	155.5
46.737663	151.119995
46.314445	152.440002
46.673782	150.429993
46.458179	150.100006
46.713711000000004	149.559998
46.218624	147
48.454491	149.360001
49.02943	151.279999
48.526363	147.529999
50.259163	145.720001
51.720455	139.339996
52.063824	161.270004
52.24749	164.130005
52.990116	170.970001
54.499329	170.009995
54.299698	NA
54.211857	176.679993
54.427464	178.559998
53.549084	181.5
50.92992	174.600006
50.442818	169.619995
52.167633	178.380005
51.975986	175.229996
52.103752	182.839996
51.712475	181.410004
50.0755	177.110001
49.548473	178.729996
49.364811	174.419998
50.730289	178.380005
51.153503	186.529999
50.450809	196.559998
51.904118	196.619995
52.606823	195.320007
55.545395	199.630005
57.6535	198.229996
57.924999	NA
58.292316	203.699997
59.066898	193.639999
58.579792	209.970001
59.146751	209.600006
59.090843	217.649994
59.098827	248
59.226585	253
58.124626	252.539993
57.661488	244.809998
54.539257	250.559998
55.880779	254.839996
57.485813	252.660004
57.254234	252.940002
55.665173	246.210007
54.89859	238.839996
55.657188	234.410004
54.443428	241.490005
52.822426	237.789993
52.071812	230.970001
53.628933	233.979996
55.553379	240.039993
55.138149	235.839996
54.890602	234.910004
54.020214	228.889999
52.215546	220.169998
54.108051	220.440002
55.02636	212.960007
55.369713	207.320007
56.519596	212.369995
56.32795	208.449997
57.014687	216.970001
57.294163	230.289993
56.567505	225.399994
58.236423	212.229996
57.437901	207.520004
57.094536	215.460007
59.322426	216.929993
58.236423	204.190002
58.252392	203.779999
56.311974	198.089996
55.297855	193.910004
57.485813	199.110001
58.587772	198.119995
NA	204.380005
60.232735	218.639999
59.298466	207.990005
58.292316	207.860001
56.942806	199.850006
56.343922	198.509995
56.799076	206.919998
56.016525	207.889999
56.016525	207.729996
55.896748	210.910004
54.786793	216.610001
54.339622	207.279999
54.387531	201.350006
55.50547	178.589996
54.603134	182.259995
54.7342	184.669998
55.954697	190.160004
55.799065	190.619995
54.177189	188.589996
52.882965	191.559998
53.177853	196.089996
54.562183	195.300003
55.700771	199.449997
55.823639	204.880005
56.495327	207.300003
57.289879	NA
56.994995	211.559998
56.855751	210.240005
56.143101	210.240005
56.569046	207.770004
